Name	Set	ImageFile	Energy	Attack	Counter	Class	Type	Weapon Rank	Equipment	Leadership	Constitution	Relationships	Skills/Abilities/Affinity	Emblem Powers/Sacred Stones/Divine Siblings	Special Abilities	Use Timing	Effect	Nation	Rom. Name	Script
Karel (Lv10)	R1	r1-011.png	7	4	2	Swordmaster	Male/Sword/Direct/Infantry	Sword S	Silver Sword			Sister: Karla	[Light]		[Sharp Blade] (Deck 2): Reduce the energy chips consumed for attacks or counterattacks by -2. Can be used up to two times.			Tribes of Sacae		
Guinevere (Lv10)	R1	r1-012.png	7	2	2	Sage	Female/Light/Magic/Infantry	Staff A / Anima B / Light S	Purge			Brother: Zephiel	[Light]		[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Kingdom of Bern		
Lyn (Lv10)	R1	r1-013.png	6	3	1	Lord	Female/Sword/Direct/Infantry	Sword B	Mani Katti: The cost of attacking is reduced by -1. [Effective Attack] +2 vs. Cavalry and Armor				[Wind]		[Command] (Energy 2): Reduce an Outside the Battlefield or Deck cost by 1. Effects stack. / [Sharp Blade] (Deck 2): Reduce the energy chips consumed for attacks or counterattacks by -2. Can be used up to two times.			Tribes of Sacae		
Nino (Lv10)	R1	r1-014.png	5	3	1	Mage	Female/Fire/Magic/Infantry	Anima C	Fire			Child: Lugh, Raigh	[Fire]		[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Black Fang		
Rebecca (Lv10)	R1	r1-015.png	4	1	1	Archer	Female/Bow/Indirect/Infantry	Bow B	Short Bow: The cost of attacking is reduced by -1.			Child: Wolt	[Fire]		[Snipe] (Energy 2): An enemy damaged by this attack must spend 1 energy chip to move during its next turn.			March of Pherae	Rebacca	
Harken (Lv10)	R1	r1-016.png	7	4	2	Hero	Male/Axe/Direct/Infantry	Sword B / Axe A	Silver Axe				[Fire]		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack.			March of Pherae		
Vaida (Lv10)	R1	r1-017.png	7	2	2	Wyvern Lord	Female/Lance/Direct/Flying	Sword A / Lance A	Axereaver: Damage received from [Sword] is increased by +2. Negate the weapon triangle disadvantage from [Axe].				[Fire]		[Re-movement] (Energy 1): After an action, the unit can move again.			Kingdom of Bern		
Paul (Lv10)	R1	r1-018.png	7	4	2	Warrior	Male/Axe/Direct/Infantry	Axe A / Bow C	Killer Axe [Sharp Strike] (Hand 2): +2 Damage			Support: Jasmine	[Fire]		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack.					
Matthew (Lv10)	R1	r1-019.png	4	2	1	Thief	Male/Sword/Direct/Infantry	Sword B	Iron Sword				[Wind]		[Procure] (Energy 2): Instead of acting, you may place the top non-Unit card from outside the battlefield on top of your Deck.			March of Ostia		
Wil (Lv10)	R1	r1-020.png	5	3	1	Archer	Male/Bow/Indirect/Infantry	Bow B	Iron Bow				[Wind]		[Snipe] (Energy 2): An enemy damaged by this attack must spend 1 energy chip to move during its next turn.			March of Caelin		
Priscilla (Lv10)	R1	r1-021.png	5	3		Troubadour	Female/Staff/Recovery/Cavalry	Staff B	Mend				[Wind]		[Re-movement] (Energy 1): After an action, the unit can move again.			Marquess Cornwell Family	Priscilla	
Fiora (Lv10)	R1	r1-022.png	6	2	1	Pegasus Knight	Female/Lance/Direct/Flying	Lance B	Iron Lance			Sister: Farina, Florina	[Wind]		[Re-movement] (Energy 1): After an action, the unit can move again.			Knights Union of Ilia		
Sain (Lv10)	R1	r1-023.png	7	3	1	Cavalier	Male/Lance/Direct/Cavalry	Sword C / Lance B	Steel Lance				[Wind]		[Re-movement] (Energy 1): After an action, the unit can move again.			March of Caelin		
Hawkeye (Lv10)	R1	r1-024.png	7	5	2	Berserker	Male/Axe/Direct/Infantry	Axe A	Silver Axe			Child: Igrene	[Wind]		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack.					
Linde (Lv10) .	R1	r1-025.png	5	2	1	Mage	Female/Wind/Magic/Infantry	Magic B	Cutting Gale / Secret Book			Support: Merric		[Skill] (Energy 1): Disable 1 card effect	[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Kingdom of Archanea	Rinda	
Jeorge (Lv10) .	R1	r1-026.png	6	4	2	Sniper	Male/Bow/Indirect/Infantry	Bow A	Bowgun					[Skill] (Energy 2): Disable 1 card effect / [Speed] (Hand 3): Retreat to avoid attack or counterattack	[Counter-Fire] (Energy 2): Deal 1 damage to 1 cavalry-type unit that moves outside the movement step.			Kingdom of Archanea	Jorjue	
Caeda (Lv15)	R1	r1-027.png	6	3	1	Knight	Female/Sword/Direct/Flying	Sword A	Ladyblade [Effective Attack]: +2 vs. Thief and Bandit classes			Support: Marth		[Luck] (Outside the Battlefield 3): Disable 1 Emblem Power	[Force Back] (Energy 2): If a direct attack deals damage, the enemy unit retreats 1 square.			Kingdom of Talys	Sheeda	
Ogma (Lv10) .	R1	r1-028.png	6	3	1	Mercenary	Male/Sword/Direct/Infantry	Sword A	Wyrmslayer: Negates the effects of [Red Scales], [White Scales], [Magic Scales], [Green Scales], and [Divine Scales]. [Effective Attack]: +2 vs. Dragons			Support: Caeda		[Strength] (Energy 2): Damage modifier +2	[Force Back] (Energy 2): If a direct attack deals damage, the enemy unit retreats 1 square.			Kingdom of Talys	Oguma	
Xane (Lv10) .	R1	r1-029.png	4	1	1	Freelancer	Male/Sword/Direct/Infantry	Sword C	Iron Sword / Goddess Icon					[Luck] (Outside the Battlefield 2): Disable 1 Emblem Power	[Transformation] (Energy 1): Transform into a unit with the same abilities as an adjacent unit of your army. Use unused chips instead of energy chips for the cost.				Cheine	
Lewyn (Lv10) .	R1	r1-030.png	6	4	1	Bard	Male/Wind/Magic/Infantry	Fire C / Thunder C / Wind * / Light C	Tornado			Child: Ced, Fee	Continue, Critical		[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Kingdom of Silesse	Levn	
Finn (Lv15) .	R1	r1-031.png	7	2	1	Lance Knight	Male/Lance/Direct/Cavalry	Lance A	Long Lance: Consumes 1 additional energy chip when attacking/counterattacking an enemy unit 1 square away.		2		Miracle, Pursuit, Rescue		[Re-movement] (Energy 1): After an action, the unit can move again.			Kingdom of Leonster	Fin	
Lex (Lv10) .	R1	r1-032.png	7	4	2	Great Knight	Male/Axe/Direct/Cavalry	Axe A	Silver Axe				Vantage		[Re-movement] (Energy 1): After an action, the unit can move again.			House Dozel	Lex	
Larcei (Lv10) .	R1	r1-033.png	6	4	1	Sword Fighter	Female/Sword/Direct/Infantry	Sword A	Silver Blade / Power Ring: Damage +1			Mother: Ayra / Brother: Scathach	Astra, Pursuit, Nihil		[Sharp Blade] (Deck 2): Reduce the energy chips consumed for attacks or counterattacks by -2. Can be used up to two times.			Kingdom of Isaach	Lakche	
Lene (Lv10) .	R1	r1-034.png	3	1	1	Dancer	Female/Sword/Indirect/Infantry	Sword C	Wind Sword: Can perform indirect attacks with initial equipment			Mother: Silvia / Brother: Cairpre	Miracle, Continue		[Dance] (Energy 1): Instead of acting, put an adjacent unit actionable state. Cannot be used after moving.				Leen	
Eyvel (Lv10) .	R1	r1-035.png	7	3	2	Swordmaster	Female/Sword/Direct/Infantry	Sword A	Long Sword: Consumes 1 additional energy chip when attacking/counterattacking an enemy unit diagonally.		2	Child: Mareeta	Continue, Rescue, Act again (Lv1)		[Sharp Blade] (Deck 2): Reduce the energy chips consumed for attacks or counterattacks by -2. Can be used up to two times.				Eyvel	
Lara (Lv10) .	R1	r1-036.png	3	1	1	Thief	Female/Sword/Direct/Infantry	Sword C	Iron Sword / Chest Key: +1 hand size		1				[Steal] Your opponent moves chips from their unused chip pile to their used chip pile equal to the damage dealt x5.				Lara	
Salem (Lv15)	R1	r1-037.png	7	2	2	Dark Mage	Male/Dark/Magic/Infantry	Staff A / Fire C / Thunder C / Wind C / Dark A	Fenrir		1				[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.				Salem	
Protection of [Fire] (Affinity)	R1	r1-038.png	3				Surprise									Your turn's National Power Phase	This card is placed to the side of the field. Target all units with the [Fire] affinity. While this card is in play, the following effects apply. Target units possessing weapon levels in [Sword], [Lance], [Axe], or [Bow] deal +1 damage when attacking or counterattacking. Other target units receive -1 damage when attacking or counterattacking.			
Protection of [Wind] (Affinity)	R1	r1-039.png	2				Surprise									Your turn's National Power Phase	This card is placed to the side of the field. Target all units with the [Wind] affinity. While this card is in play, the following effects apply. When a target male unit receives damage, move 1 chip from your used chip pile to your unused chip pile. When a target female unit acts, move 1 chip from your used chip pile to your unused chip pile.			
Protection of [Light] (Affinity)	R1	r1-040.png	3				Surprise									Your turn's National Power Phase	This card is placed to the side of the field. Target all units with the [Light] affinity. While this card is in play, the following effects apply. Target units have their maximum energy increased by +1, and during their controller's End Phase, that player may supply target units with 1 chip from the used or unused chip pile.			
Support of [Fire] (Affinity)	R1	r1-041.png	2				Surprise									When declaring an attack	Target 1 unit of your army. Increase the damage dealt by target unit by +1. If the target unit has the [Fire] affinity, choose one of the following effects: 1. Increase the damage by +3. / 2. Negate any effects that reduce damage.			
Support of [Wind] (Affinity)	R1	r1-042.png	3				Surprise									When an enemy declares an attack or counterattack	Target 1 unit of your army. Any unit attacking or counterattacking the target unit must spend 2 additional energy chips. If they cannot, the battle is interrupted. If the target unit has the [Wind] affinity, this effect lasts until the end of the turn.			
Support of [Light] (Affinity)	R1	r1-043.png	1				Surprise									Anytime during your or your opponent's Invasion Phase	Target 1 unit of your army. You may place 1 chip from your unused chip pile on the target unit. If the target unit has the [Light] affinity, you may place up to 3 chips from your used or unused chip pile on the target unit.			
Solitary Battlefield	R1	r1-044.png	1				Surprise									Anytime	Target 1 of your opponent's (Affinity) surprise cards that's either just been played or is placed to the side of the battlefield. Negate the target card's effect and place it on top of your opponent's deck. Alternatively, by spending 2 additional chips, negate the target card's effects and send it outside the battlefield, then return this card to the deck and shuffle.			
Pursuit (skill) .	R1	r1-045.png	1				Surprise									When receiving a counterattack	You can target 1 unit of your army that has the skill "Pursuit". When the target unit attacks and receives a counterattack, the targeted unit can perform a counterattack with the same equipment used for the attack. This card cannot be used against a counterattack caused by this effect. If Finn uses this skill, the chip cost is reduced by -1.			
Astra (skill) .	R1	r1-046.png	5				Surprise									When declaring an attack	You can target 1 unit of your army that has the skill "Astra". If the number of energy chips on the attacking unit is less than or equal to the number of chips on the enemy unit, the unit can attack 3 times in a row at its base attack power without spending any energy chips. If Mareeta uses this skill, the chip cost is reduced by -1.			
Continue (skill) .	R1	r1-047.png	1				Surprise									When declaring an attack	You can target 1 unit of your army that has the skill "Continue". Double the number of energy chips consumed and the number of attacks. If "Lene" uses this skill, the chip cost is reduced by -1.			
Miracle (skill) .	R1	r1-048.png	1				Surprise									When receiving an attack or counterattack	You can target 1 unit of your army that has the skill "Miracle". Targeted unit spends 1 energy chip. Reduce the number of the enemy's attacks by -1. If "Dithorba" uses this skill, the chip cost is reduced by -1.			
Skill Ring .	R1	r1-049.png	3				Surprise									Anytime during your or your opponent's Invasion Phase	Target 1 unit of your army. During this battle, treat the target unit as if it possessed all Skills.			
Knight Ring .	R1	r1-050.png	1				Surprise									Anytime during your Invasion Phase	Target 1 unit of your army. Until the end of the turn, the target unit gains [Re-Movement]. [Re-movement] (Energy 1): After an action, the unit can move again.			
Prayer Bracelet .	R1	r1-051.png	4				Surprise									When an enemy declares an attack or counterattack	Target 1 unit of your army. Target unit spends 1 energy chip. Reduce the number of the enemy's attacks by -1.			
Surprise Nullification .	R1	r1-052.png	X				Surprise									When a surprise card is used	Negate the effect of a surprise card which your opponent just used. X equals the chip cost of the surprise card to negate.			
Card Draw .	R1	r1-053.png	3				Surprise									Anytime	Draw 3 cards.			
Supply .	R1	r1-054.png	1				Surprise									Anytime	Target 2 units of your army. Move any number of chips from 1 target unit to the other.			
Eliwood (Lv10)	R2	R2-001.png	7	3	1	Lord	Male/Sword/Direct/Infantry	Sword B	Rapier [Effective Attack]: +2 vs. Cavalry and Armor	2		Child: Roy / Support: Ninian	[Anima]		[Command] (Energy 2): Reduce an Outside the Battlefield or Deck cost by 1. Effects stack. / [Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square.			March of Pherae	Eliwood	
Ninian (Lv10)	R2	R2-002.png	4			Dancer	Female/Special/Infantry		Elixir: Instead of acting, cure Silence and Sleep status ailments for an adjacent unit of your army.			Brother: Nils / Support: Eliwood	[Ice]		[Dance] (Energy 1): Instead of acting, put an adjacent unit actionable state. Cannot be used after moving.				Ninian	
Athos (Lv10)	R2	R2-003.png	7	4	2	Archsage	Male/Dark/Magic/Infantry	Staff S / Anima S / Light S / Dark S	Fenrir				[Anima]		[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Nabata Village		
Oswin (Lv10)	R2	R2-004.png	8	3	1	Armor Knight	Male/Lance/Direct/Infantry	Lance B	Horseslayer [Effective Attack]: +2 vs. Cavalry			Support: Hector	[Anima]		[Heavy Step]: Each time this unit moves 1 square, it consumes 1 energy chip. / [Iron Wall] (Hand 2): Reduce damage taken by weapon attacks or counterattacks by -2.			March of Ostia		
Kent (Lv10)	R2	R2-005.png	7	2	1	Cavalier	Male/Sword/Direct/Cavalry	Sword B / Lance C	Lancereaver: Damage received from [Axe] is increased by +2. Negate the weapon triangle disadvantage from [Lance].			Support: Sain	[Anima]		[Re-movement] (Energy 1): After an action, the unit can move again.			March of Caelin		
Farina (Lv10)	R2	R2-006.png	6	2	1	Pegasus Knight	Female/Lance/Direct/Flying	Lance B	Iron Lance			Sister: Fiora, Florina	[Anima]		[Re-movement] (Energy 1): After an action, the unit can move again.			Knights Union of Ilia		
Canas (Lv10)	R2	R2-007.png	5	3	1	Shaman	Male/Dark/Magic/Infantry	Dark B	Flux			Mother: Niime / Child: Hugh	[Anima]		[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Knights Union of Ilia	Canas	
Renault (Lv10)	R2	R2-008.png	7	4	2	Bishop	Male/Light/Magic/Infantry	Staff A / Light A	Argent Aura				[Anima]		[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.					
Lloyd (Lv10)	R2	R2-009.png	7	4	2	Swordmaster	Male/Sword/Direct/Infantry	Sword S	Longsword [Effective Attack]: +2 vs. Cavalry	1		Brother: Linus	[Anima]		[Sharp Blade] (Deck 2): Reduce the energy chips consumed for attacks or counterattacks by -2. Can be used up to two times.			Black Fang	Lioyd	
Sonia (Lv10)	R2	R2-010.png	7	4	2	Sage	Female/Anima/Magic/Infantry	Staff A / Anima A	Fimbulvetr	2		Support: Nergal			[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Black Fang		
Ursula (Lv10)	R2	R2-011.png	6	2	2	Valkyrie	Female/Anima/Magic/Cavalry	Staff B / Anima A	Elfire	1		Support: Sonia			[Re-mounting] (Energy 2): After an action, the unit can move again.			Black Fang		
Sue (Lv10)	R2	R2-012.png	6	2	1	Nomad	Female/Bow/Indirect/Cavalry	Bow B	Short Bow: The cost of attacking is reduced by -1.			Father: Rath / Support: Dayan	[Wind]		[Re-movement] (Energy 1): After an action, the unit can move again.			Tribes of Sacae		
Ellen (Lv10)	R2	R2-013.png	6	3		Cleric	Female/Staff/Recovery/Infantry	Staff B	Physic Staff			Support: Guinevere	[Wind]		[Support]: You can use used chips to support during the support step. Grants +1 support chip.			Kingdom of Bern		
Bors (Lv10)	R2	R2-014.png	8	3	1	Armor Knight	Male/Lance/Direct/Infantry	Lance B	Heavy Spear: Enemy units cannot use [Iron Wall]. [Effective Attack]: +2 vs. Armors			Sister: Gwendolyn	[Wind]		[Heavy Step]: Each time this unit moves 1 square, it consumes 1 energy chip. / [Iron Wall] (Hand 2): Reduce damage taken by weapon attacks or counterattacks by -2.			March of Ostia		
Ogier (Lv10)	R2	R2-015.png	6	3	1	Mercenary	Male/Sword/Direct/Infantry	Sword B	Armorslayer: Enemy units cannot use [Iron Wall]. [Effective Attack]: +2 vs. Armors			Support: Lilina	[Wind]		[Sharp Blade] (Deck 2): Reduce the energy chips consumed for attacks or counterattacks by -2. Can be used up to two times.			March of Ostia		
Shanna (Lv10)	R2	R2-016.png	6	2	1	Pegasus Knight	Female/Lance/Direct/Flying	Lance B	Iron Lance			Sister: Juno, Thea	[Wind]		[Re-movement] (Energy 1): After an action, the unit can move again.			Knights Union of Ilia		
Trec (Lv10)	R2	R2-017.png	7	3	1	Cavalier	Male/Lance/Direct/Cavalry	Sword C / Lance B	Steel Lance			Support: Zelot	[Wind]		[Re-movement] (Energy 1): After an action, the unit can move again.			Knights Union of Ilia		
Hugh (Lv10)	R2	R2-018.png	5	3	1	Mage	Male/Anima/Magic/Infantry	Anima B	Elfire			Father: Canas	[Wind]		[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Knights Union of Ilia	Hugh	
Garret (Lv10)	R2	R2-019.png	7	4	2	Berserker	Male/Axe/Direct/Infantry	Axe A	Steel Axe			Support: Lilina	[Wind]		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack.					
Dieck (Lv10)	R2	R2-020.png	6	4	1	Mercenary	Male/Sword/Direct/Infantry	Sword B	Iron Blade			Support: Klein	[Thunder]		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack.					
Chad (Lv10)	R2	R2-021.png	4	2	1	Thief	Male/Sword/Direct/Infantry	Sword C	Iron Sword			Support: Lugh, Raigh	[Thunder]		[Steal] Your opponent moves chips from their unused chip pile to their used chip pile equal to the damage dealt x5.					
Clarine (Lv10)	R2	R2-022.png	5	3		Troubadour	Female/Staff/Recovery/Cavalry	Staff B	Mend			Father: Pent / Mother: Louise / Brother: Klein	[Thunder]		[Re-movement] (Energy 1): After an action, the unit can move again.					
Douglas (Lv10)	R2	R2-023.png	8	4	2	General	Male/Axe/Direct/Infantry	Lance A / Axe A	Silver Axe	2		Child: Larum	[Thunder]		[Heavy Step]: Each time this unit moves 1 square, it consumes 1 energy chip. / [Iron Wall] (Hand 2): Reduce damage taken by weapon attacks or counterattacks by -2.			Kingdom of Etruria		
Bartre (Lv10)	R2	R2-024.png	7	4	2	Warrior	Male/Axe/Direct/Infantry	Axe A / Bow C	Silver Axe			Child: Fir / Support: Karla	[Thunder]		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack.			Tribes of Sacae		
Zeiss (Lv10)	R2	R2-025.png	7	3	1	Wyvern Knight	Male/Lance/Direct/Flying	Lance B	Steel Lance			Sister: Melady	[Thunder]		[Re-movement] (Energy 1): After an action, the unit can move again.			Kingdom of Bern	Zeiss	
Gonzales (Lv10)	R2	R2-026.png	6	5	1	Brigand	Male/Axe/Direct/Infantry	Axe C	Devil Axe: After dealing attack damage, if the number of chips in your opponent's used chip pile is even, immediately take 1 damage.			Support: Lilina	[Thunder]		[Land Destruction]: You may remove the land card this unit moved to by spending 1 energy chip.			Western Isles		
War Dragon (Lv10)	R2	R2-027.png	3	0	0	Manakete	Male/Soldier/Breath/Infantry		Fire Dragonstone						[Fire Dragon Transformation] (Deck 2): Unit type becomes "Dragon Tribe" and gains the following abilities. Cannot attack without using [Fire Dragon Transformation]. / [Fire Breath] attacks or counterattacks deal +4 damage / [Red Scales] Damage received from weapons is reduced by -2.					
Castor (Lv10) .	R2	R2-028.png	6	3	2	Horseman	Male/Bow/Indirect/Cavalry	Bow B	Steel Bow			Support: Caeda		[Speed] (Hand 3): Retreat to avoid attack or counterattack / [Luck] (Outside the Battlefield 3): Disable 1 Emblem Power	[Horseback Riding]: After an action, you can move except forward (to the adjacent left, right, or back).			Kingdom of Talys	Kashim	
Roshea (Lv10) .	R2	R2-029.png	7	4	2	Paladin	Male/Lance/Direct/Cavalry	Lance A	Silver Lance					[Skill] (Energy 2): Disable 1 card effect / [Resistance] (Hand 2): Magic damage -2	[Charge] If an attack after moving causes an adjacent enemy to withdraw, you can move to the square where the enemy unit was.			Kingdom of Aurelis	Roshe	
Maria (Lv10) .	R2	R2-030.png	6	3		Cleric	Female/Staff/Recovery/Infantry	Staff B	Physic Staff			Brother: Michalis / Sister: Maria		[Luck] (Outside the Battlefield 3): Disable 1 Emblem Power	[Support]: You can use used chips to support during the support step. Grants +1 support chip.			Kingdom of Macedonia	Maria	
Arlen (Lv10) .	R2	R2-031.png	5	4	1	Mage	Male/Thunder/Magic/Infantry	Magic A	Thoron / Aquarius Shard: When sortieing, you place up to 1 used chip as an energy chip.			Support: Wendell		[Resistance] (Hand 2) Magic damage -2	[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Khadein	Ellerean	
Chulainn (Lv10) .	R2	R2-032.png	6	4	1	Sword Fighter	Male/Sword/Direct/Infantry	Sword A	Steel Blade / Leg Ring				Pursuit, Luna		[Sharp Blade] (Deck 2): Reduce the energy chips consumed for attacks or counterattacks by -2. Can be used up to two times.				Holyn	
Ares (Lv10) .	R2	R2-033.png	6	3	1	Cavalier	Male/Lance/Direct/Cavalry	Sword * / Lance C	Iron Lance			Father: Eldigan	Pursuit, Vantage, Continue		[Re-movement] (Energy 1): After an action, the unit can move again.			Kingdom of Nordion	Aless	
Claud (Lv10) .	R2	R2-034.png	7	2		High Priest	Male/Staff/Status/Infantry	Staff * / Fire C / Thunder C / Wind C	Silence Staff: Target unit cannot use magic until the end of the next turn.						[Support]: You can use used chips to support during the support step. Grants +1 support chip.			House Edda	Claud	
Galzus (Lv10) .	R2	R2-035.png	7	4	2	Mercenary	Male/Axe/Direct/Infantry	Sword A / Axe A	Silver Axe		3	Child: Mareeta	Astra, Luna, Rescue, Capture, Act again (Lv3)		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack.			Kingdom of Isaach	Galzus	
Linoan (Lv10) .	R2	R2-036.png	5	3		Cleric	Female/Staff/Recovery/Infantry	Staff B / Fire C / Thunder C / Wind C / Light A	Physic Staff / Nihil Manual		1		Nihil, Rescue		[Support]: You can use used chips to support during the support step. Grants +1 support chip.			Tahra	Linoan	
Ishtar (Lv10) .	R2	R2-037.png	7	4	2	Sage	Female/Thunder/Magic/Infantry	Staff B / Fire B / Thunder * / Wind B / Light C	Thoron	3	1	Father: Bloom / Mother: Hilda / Brother: Ishtore / Support: Julius	Vantage, Continue, Rescue		[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			House Friege	Ishtar	
Durandal	R2	R2-038.png	3	5			Weapon	Sword C									[Legendary Weapon] The unit equipped with this weapon is treated as having the [Fire] affinity in addition to its original affinity. If you attack or counterattack with this weapon, consume X unused chips as an additional cost on top of the standard cost. (C = 3, B = 2, A = 1, S = 0). [Blazing Blade] Instead of acting, add 1 [Fire] affinity surprise card from your deck or outside the battlefield to your hand. [Effective Attack] Deals +4 damage vs. Dragons when attacking or counterattacking.			
Longsword	R2	R2-039.png	2	1			Weapon	Sword C									[Effective Attack] Deals +2 damage vs. cavalry when attacking or counterattacking.			
Heavy Spear	R2	R2-040.png	1	2			Weapon	Lance C									Units that attack or counterattack with this weapon cannot use the special ability "Iron Wall" of the Emblem Power "Defense". [Effective Attack] Deals +2 damage vs. armor-type units when attacking or counterattacking. Armor-type: Units with [Heavy Step] in their description.			
Short Lance	R2	R2-041.png	0	1			Weapon	Lance C									When equipping this weapon, consume 1 unused chip instead of placing chips on the unit equipped with this weapon. If you attack or counterattack with this weapon, do not consume energy chips. / [Indirect Attack] Remove this card after performing an indirect attack or counterattack.			
Dragon Axe	R2	R2-042.png	2	3			Weapon	Axe B									If you attack or counterattack with this weapon, negate the effects of [Red Scales], [White Scales], [Magic Scales], [Green Scales], and [Divine Scales]. [Effective Attack] +3 damage vs. dragon-types. Dragon-type: Units with the word "Dragon" or "Dragon Tribe" in their description (class).			
Longbow	R2	R2-043.png	1	2			Weapon	Bow B												
Aircalibur	R2	R2-044.png	2	3			Magic	Anima B									This card is removed after use. [Effective Attack] Deals +3 damage vs. flying units when attacking or counterattacking.			
Divine	R2	R2-045.png	2	3			Magic	Light B									This card is removed after use.			
Purge	R2	R2-046.png	4	3			Magic	Light A									This card is removed after use.			
Fenrir .	R2	R2-047.png	3	4			Magic	Dark A									This card is removed after use.			
